country,code,continent,life_sat,good_day,typical_day,bad_day,happy_eb,happy_wvs,pop,gdp_cap,hdi,life_sat_sd,pos_affect,neg_affect,log_gdp,hlife_exp,gini,social,freedom,generosity,corruption_percep,gov_conf
Guinea,GIN,Africa,3.602854729,,,,,,10753680,1215.02537680237,0.411,2.1184866428375244,0.686984658241272,0.3743937909603119,7.04714822769165,50.493099212646484,0.3373,0.6754470467567444,0.725685179233551,-0.004052433650940657,0.8027811646461487,0.4656958281993866
Guinea-Bissau,GNB,Africa,,,,,,,1612913,1466.26769456368,0.42,,,,,,,,,,,
Guyana,GUY,South America,5.992826462,,,,,,759262,7248.23018348168,0.636,1.841071367263794,0.7675405740737915,0.29641976952552795,8.577997207641602,57.42677307128906,,0.8487651944160461,0.6940056681632996,0.11706222593784332,0.8355690836906433,0.4647120535373688
Haiti,HTI,North America,3.352300167,,,,,,10388424,1653.96184811414,0.483,2.1881439685821533,0.5527740716934204,0.367341011762619,7.409858703613281,53.207759857177734,0.6079,0.5837424397468567,0.3035404086112976,0.2976093888282776,0.8385231494903564,0.1460646241903305
Hanover,OWID_HAN,Europe,,,,,,,,,,,,,,,,,,,,
Heard Island and McDonald Islands,HMD,Antarctica,,,,,,,,,,,,,,,,,,,,
Hesse Electoral,OWID_HSE,Europe,,,,,,,,,,,,,,,,,,,,
Hesse Grand Ducal,OWID_HSG,Europe,,,,,,,,,,,,,,,,,,,,
Honduras,HND,North America,5.648154736,,,,,,8071522,4392.26594675796,0.606,2.970618963241577,0.8323967456817627,0.2968466877937317,8.492579460144043,63.586090087890625,0.5367000000000001,0.7739099860191345,0.850046694278717,0.08091340959072113,0.7928751707077026,0.3892745077610016
Hong Kong,HKG,Asia,5.498420715,,,,,89.278557,7274125,54279.1834739963,0.91,,,,,,,,,,,
Hungary,HUN,Europe,5.448901653,17,76,8,63.843609,75.920395,9933795,25381.2879150676,0.828,1.8453776836395264,0.6659107804298401,0.24332576990127563,10.123528480529785,67.30926513671875,0.3055,0.8995115756988525,0.5539517402648926,-0.19606785476207733,0.9241858124732971,0.30377233028411865
Iceland,ISL,Europe,7.510034561,,,,97.602196,,331996,45276.4485545161,0.899,1.5712463855743408,0.8738878965377808,0.15816916525363922,10.689029693603516,72.05354309082031,0.26940000000000003,0.9849400520324707,0.9516095519065857,0.2739878296852112,0.7192995548248291,0.36351829767227173
India,IND,Asia,4.179177284,32,63,4,,80.518654,1275137828,6092.64809658481,0.609,1.741349220275879,0.69450443983078,0.34568145871162415,8.71315860748291,59.3495979309082,0.33899999999999997,0.6135293841362,0.8200687766075134,0.03512374684214592,0.7647221088409424,0.7321045994758606
